University,Country,Scholarship,Total fee without scholarship (INR),Cost of living (INR/month),Duration,Months of admission,Months to apply by,World ranking,CGPA/10 (typical req),Part-time Job
King's College London,UK,Yes (30–100%),46L,1.6L,1 yr,Sep,Jun–Aug,#31 (QS 2026),7.0–8.0,Yes
University of Strathclyde (Glasgow),UK,Yes (10–40%),38.8L,1.3L,1 yr,Sep,Jun–Aug,#?251 (QS 2026),6.5–7.5,Yes
University of Leicester,UK,Yes (10–50%),33L,1.2L,1–2 yrs,Sep/Oct,Jun–Aug,#326 (QS 2026),6.5–7.5,Yes
University College Dublin (UCD),Ireland,Yes (25–50%),11.8L,1.1L,1 yr,Sep,Jun–Aug,Top 200–300,6.5,Yes
Technological University Dublin (TU Dublin),Ireland,Yes,9L–14L,0.9L–1.0L,1 yr,Sep,Jun–Aug,National ranking modest,6.5,Yes
University College Cork (UCC),Ireland,Yes,13L–24L,1.0L,1 yr,Sep,May–Jul,Top 300–400,6.5–7.0,Yes
Ghent University,Belgium,Yes,7.3L,0.8L,1–2 yrs,Sep,May–Jul,Strong EU ranking,6.5–7.5,Yes
KU Leuven,Belgium,Yes,3.7L–7.0L,0.8L,1–2 yrs,Sep,May–Jul,High global ranking,7.0–8.0,Yes
Vrije Universiteit Brussel (VUB),Belgium,Yes,4.5L–9.6L,0.7L–0.9L,1–2 yrs,Sep,May–Jul,Moderate ranking,6.5–7.5,Yes
University of Amsterdam (UvA),Netherlands,Yes,20.7L,1.2L,2 yrs,Sep,Apr–Jul,#53 (QS 2026),7.0–8.0,Yes
Leiden University,Netherlands,Yes,21L–23.1L,1.1L,1 yr,Sep,Apr–Jul,Top 100–200,7,Yes
EUFOR (European School of Forensic Science),Austria,Yes,1.1L–1.6L,0.6L–0.8L,1 yr,Sep,May–Jul,Not ranked,6.5–7.5,Yes
Medical University of Vienna,Austria,Yes,0.3L–1.2L,0.7L–0.9L,1–2 yrs,Sep,May–Jul,Top 300–400,7,Yes
University of Innsbruck,Austria,Yes,0.3L–1.5L,0.6L–0.9L,1–2 yrs,Sep,May–Jul,Top 80–110 regional,6.5–7.5,Yes
University of Copenhagen,Denmark,Yes,3.5L–14L,1.0L–1.5L,1–2 yrs,Sep,Apr–Jul,Top 70–120,6.5–7.5,Yes
Aarhus University,Denmark,Yes,3L–12L,0.9L–1.4L,1–2 yrs,Sep,Apr–Jul,Top 100–200,6.5–7.5,Yes
Technical University of Denmark (DTU),Denmark,Yes,12L–20L,0.9L–1.4L,2 yrs,Sep,Apr–Jul,Top 100–200,7,Yes
University of Lausanne (UNIL),Switzerland,Yes,1.0L–6.0L,1.3L–2.0L,1–2 yrs,Sep,May–Jul,Top 100–200,7,Yes
University of Zurich (UZH),Switzerland,Yes,3L–10L,1.4L–2.0L,1–2 yrs,Sep,May–Jul,Top 100–150,7.0–8.0,Yes
ETH Zurich,Switzerland,Yes,8L–25L,1.6L–2.3L,1–2 yrs,Sep,Apr–Jul,#6–20 (QS),8,Yes
Uppsala University,Sweden,Yes,24L–27L,0.9L–1.2L,2 yrs,Sep,Feb–Apr,#Top 100–200,7.0–8.0,Yes
Halmstad University,Sweden,Yes,10L–18L,0.8L–1.0L,1–2 yrs,Sep,Jan–Apr,National modest,6.5–7.5,Yes
Karolinska Institutet / Umeå / Lund,Sweden,Yes,15L–28L,0.9L–1.3L,1–2 yrs,Sep,Jan–Apr,#Top 50–100,7.5–8.0,Yes
